block	wandb_id	run_name	state	seeds	checkpoint	train_run	ntp	kd	opd	rollout_interval	rollout_len	fixed_mask	pgd	kl_budget	tr	growth	mask_interval	steps	lr	seqlen
Qwen 3 8B dense	xp6jch5n	s3_8b_dense	finished	0,1,42	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218															
Qwen 3 8B s50 SparseGPT	zpovcm4b	s3_8b_sparsegpt_s50	finished	0,1,42	cosmos1030/qwen3-8b-sgpt-s50pct-ot80fw20															
Qwen 3 8B s50 SparseGPT	uubwrjtd	s3_8b_sparsegpt_s50_seeds01	finished	0,1,42	/home/doyoonkim/models/sparsegpt_s50															
Qwen 3 8B s50 SparseGPT selfgen	4vr9z3wb	s3_8b_s50_sgpt_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_8b_sgpt_s50pct_n128_selfgenv3															
Qwen 3 8B s50 SparseGPT selfgen	k7cdxa9c	s3_8b_s50_sgpt_selfgen_s01	finished	0,1,42	/home/doyoonkim/models/selfgen_8b_sparsegpt_s50															
Qwen 3 8B s50 SparseLLM	5p9kg9au	s3_8b_sparsellm_s50	failed	0,1	/home/doyoonkim/models/sparsellm_8b_s50															
Qwen 3 8B s50 SparseLLM	ya6gvt77	s3_8b_sparsellm_s50	running	0,1	/home/doyoonkim/models/sparsellm_8b_s50															
Qwen 3 8B s50 ALPS	dcdjjxif	s3_8b_alps_s50	finished	0,1,42	/NHNHOME/log-postech/doyoonkim/models/qwen3_8b_alps_s50pct															
Qwen 3 8B s50 ALPS	i2js42zd	s3_8b_alps_s50_seeds01	finished	0,1,42	/home/doyoonkim/models/alps_s50															
Qwen 3 8B s50 ALPS selfgen	ipdx9nqz	s3_8b_s50_alps_selfgen	finished	42	/home1/doyoonkim/projects/elsa/models/qwen3_8b_selfgen_v3_alps_s50pct															
Qwen 3 8B s50 ALPS+retrain	re907ejb	s3_8b_alpsretrain_s50	finished	0,1,42	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260908_053513	tb09czsq	0.33	0.33	0.33	-1	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 8B s50 ALPS+retrain	lqfpuzwt	s3_8b_alpsretrain_s50_seeds01	finished	0,1,42	/home/doyoonkim/models/alpsretrain_s50															
Qwen 3 8B s50 Ours	2ddtwf5t	s3_8b_ours_s50	finished	0,1,42	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260907_210125	roq1vwuw	0.33	0.33	0.33	32	512	False	True	0.01	False	cubic	32	2048	None	8192
Qwen 3 8B s50 Ours	sf0xyxbz	s3_8b_ours_s50_seeds01	finished	0,1,42	/home/doyoonkim/models/ours_s50															
Qwen 3 8B s60 SparseGPT	0jhvupb7	s3_8b_sparsegpt_s60	finished	0,1,42	cosmos1030/qwen3-8b-sgpt-s60pct-ot80fw20															
Qwen 3 8B s60 SparseGPT	41dgii3b	s3_8b_sparsegpt_s60_seeds01	finished	0,1,42	/home/doyoonkim/models/sparsegpt_s60															
Qwen 3 8B s60 SparseGPT selfgen	1uf66ape	s3_8b_s60_sgpt_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_8b_sgpt_s60pct_n128_selfgenv3															
Qwen 3 8B s60 SparseGPT selfgen	8gvmt5je	s3_8b_s60_sgpt_selfgen_s01	finished	0,1,42	/home/doyoonkim/models/selfgen_8b_sparsegpt_s60															
Qwen 3 8B s60 SparseLLM	3c0n07cu	s3_8b_sparsellm_s60	running	0	/home/doyoonkim/models/sparsellm_8b_s60															
Qwen 3 8B s60 ALPS	b177u96x	s3_8b_alps_s60	finished	0,1,42	/NHNHOME/log-postech/doyoonkim/models/qwen3_8b_alps_s60pct															
Qwen 3 8B s60 ALPS	6k9p8u3h	s3_8b_alps_s60_seeds01	finished	0,1,42	/home/doyoonkim/models/alps_s60															
Qwen 3 8B s60 ALPS selfgen	7bh65g1r	s3_8b_s60_alps_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_8b_selfgen_v3_alps_s60pct															
Qwen 3 8B s60 ALPS selfgen	4a3nztwf	s3_8b_s60_alps_selfgen_s01	finished	0,1,42	/home/doyoonkim/models/selfgen_8b_alps_s60															
Qwen 3 8B s60 ALPS+retrain	lkprc0o6	s3_8b_alpsretrain_s60	finished	0,1,42	cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260908_054305	o90s9lyo	0.33	0.33	0.33	-1	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 8B s60 ALPS+retrain	j074xn67	s3_8b_alpsretrain_s60_seeds01	finished	0,1,42	/home/doyoonkim/models/alpsretrain_s60															
