Qwen 3 1.7B dense																						wandb 6hrpz2d5	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-1.7B/snapshots/70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/6hrpz2d5
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
std	0.58	1.33	3.42	2.95	510	0.77	1.01	0.64	143	1.44	0.28	2.75	22	0.57	1.94	18.03	584	0.72	1.15	0.78	97	0.54
																						
Qwen 3 1.7B s50 ALPS  [crashed/finished]																						wandb 038q8gps dqdxoshm	cosmos1030/alps-qwen3-1.7b-s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/038q8gps https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/dqdxoshm
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	43.03	77.0	14.0	6.33	5354	23.23	14.14	8.0	5845	29.39	43.25	30.26	7810	12.69	40.3	0	22645	72.86	4.93	2.44	1424	47.98
1	42.34	72.4	16.4	9.05	5725	24.75	9.09	9.26	4941	28.65	44.92	34.6	8042	12.69	44.4	0	22787	73.24	4.93	3.4	1434	46.74
42	43.5	73.8	15.2	6.82	5580	26.77	10.1	7.02	5088	31.98	41.4	25.43	7513	12.69	45.52	0	23550	72.25	5.16	3.44	1458	47.68
mean	42.96	74.4	15.2	7.4	5553	24.92	11.11	8.09	5291	30.01	43.19	30.1	7788	12.69	43.41	0.0	22994	72.78	5.0	3.09	1439	47.47
std	0.58	2.36	1.2	1.45	187	1.77	2.67	1.12	485	1.75	1.76	4.59	265	0.0	2.75	0.0	486	0.5	0.13	0.57	17	0.65
																						
Qwen 3 1.7B s50 ALPS selfgen																						wandb hosevc69	/home1/doyoonkim/projects/elsa/models/qwen3_1.7b_alps_selfgen_v3_s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/hosevc69
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	-	77.4	9.2	1.78	4931	-	-	-	-	44.36	22.18	14.29	4656	10.07	61.19	0	25967	82.11	3.49	1.01	2047	53.49
1	-	78.0	10.2	0.76	5066	-	-	-	-	41.77	25.32	15.04	5157	10.82	55.97	0	25103	81.5	2.73	0.56	2000	53.02
42	-	77.8	9.6	1.77	4759	-	-	-	-	42.33	24.03	16.12	4923	11.94	57.84	0	25492	82.87	2.35	0.36	1975	53.73
mean	-	77.73	9.67	1.44	4919	-	-	-	-	42.82	23.84	15.15	4912	10.95	58.33	0.0	25521	82.16	2.86	0.64	2008	53.41
std	-	0.31	0.5	0.58	154	-	-	-	-	1.36	1.58	0.92	251	0.94	2.65	0.0	432	0.68	0.58	0.33	37	0.36
																						
Qwen 3 1.7B s50 ALPS+retrain  [crashed/finished]																						wandb cwz9tepg cbjuilvr	cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260811_191146	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/cwz9tepg https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/cbjuilvr
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	48.55	77.0	14.2	3.02	6054	19.19	38.89	37.7	11882	47.32	22.55	9.22	5416	15.3	37.31	0	22891	83.93	4.93	0.9	2522	55.89
1	48.45	77.2	14.6	2.03	6089	17.68	38.89	35.19	11520	47.32	22.18	12.03	5318	16.04	38.43	0	23551	84.0	4.4	0.89	2516	56.14
42	49.66	77.2	14.2	2.77	6226	19.7	32.32	31.58	11200	51.02	23.48	10.39	5639	17.91	39.18	0	23247	82.49	5.69	1.27	2594	57.15
mean	48.89	77.13	14.33	2.61	6123	18.86	36.7	34.82	11534	48.55	22.74	10.55	5458	16.42	38.31	0.0	23230	83.47	5.0	1.02	2544	56.39
std	0.67	0.12	0.23	0.52	91	1.05	3.79	3.08	341	2.13	0.67	1.41	165	1.35	0.94	0.0	330	0.85	0.65	0.22	44	0.67
																						
Qwen 3 1.7B s50 Ours  [crashed/finished]																						wandb 7fh2glxs gm2zl3ol	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_071337	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/7fh2glxs https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/gm2zl3ol
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	46.09	74.6	15.8	3.37	6048	19.19	36.87	32.14	11213	42.88	28.1	14.71	5883	10.45	57.84	0	25364	83.32	4.85	1.43	2325	52.81
1	47.98	76.8	15.0	3.27	5945	25.76	29.8	20.31	10985	39.56	30.13	20.15	6084	15.3	52.61	0	24391	82.49	5.23	1.45	2305	53.54
42	47.9	76.0	15.2	4.04	6181	25.25	32.83	28.57	10984	43.07	29.39	14.65	6015	11.57	55.22	0	24699	83.62	5.46	1.61	2281	53.56
mean	47.32	75.8	15.33	3.56	6058	23.4	33.16	27.01	11061	41.84	29.21	16.5	5994	12.44	55.22	0.0	24818	83.14	5.18	1.5	2304	53.3
std	1.07	1.11	0.42	0.42	118	3.65	3.55	6.07	132	1.98	1.03	3.16	102	2.54	2.61	0.0	497	0.59	0.31	0.09	22	0.43
																						
Qwen 3 1.7B s50 Ours w/o OPD (0.5/0.5/0)																						wandb 0z090sz5	cosmos1030/gmp-kd5e-1-s50pct-lr5e-5_20260916_221150	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/0z090sz5
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
