Qwen 3 4B dense																						wandb b2rdczje	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/b2rdczje
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
mean	61.64	89.07	6.8	0.89	4093	34.68	15.49	13.13	8101	61.24	18.67	8.8	4362	33.08	39.3	0.0	21117	90.12	2.27	0.61	1825	68.38
std	0.51	0.76	0.0	0.23	40	3.29	1.91	1.19	349	1.11	1.03	1.06	147	0.78	0.43	0.0	93	0.46	0.23	0.1	16	0.36
																						
Qwen 3 4B s50 ALPS																						wandb kdimp4bo	cosmos1030/alps-qwen3-4b-s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/kdimp4bo
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	62.94	91.2	5.4	1.08	4195	35.35	17.17	11.39	8517	63.59	18.85	8.27	4788	33.58	29.85	0	19876	90.98	3.11	0.83	2271	69.84
1	62.0	91.6	5.6	0.87	4227	34.34	15.15	15.0	8297	62.48	18.11	7.14	4656	30.6	32.09	0	19950	90.98	3.34	0.99	2327	68.91
42	62.31	90.2	6.6	1.74	4301	36.36	14.65	6.49	8342	61.37	20.52	10.03	4943	32.09	30.6	0	20100	91.51	2.81	0.33	2281	68.79
mean	62.41	91.0	5.87	1.23	4241	35.35	15.66	10.96	8385	62.48	19.16	8.48	4795	32.09	30.85	0.0	19975	91.15	3.08	0.72	2293	69.18
std	0.48	0.72	0.64	0.46	54	1.01	1.34	4.27	116	1.11	1.23	1.45	143	1.49	1.14	0.0	115	0.31	0.27	0.34	30	0.57
																						
Qwen 3 4B s50 ALPS selfgen																						wandb 8yyyu8ow	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/8yyyu8ow
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	64.04	91.2	5.4	1.3	4474	37.88	13.13	7.41	8401	64.7	14.79	6.17	3934	35.45	33.58	0	20543	90.98	2.73	0.99	2214	70.58
1	63.08	89.6	6.6	0.67	4513	34.85	15.15	16.87	8814	63.03	16.45	5.8	4142	36.94	38.81	0	20878	90.98	3.26	0.83	2227	70.14
42	63.4	89.8	6.6	1.32	4427	39.39	12.63	4.88	8121	61.74	15.9	8.74	4084	35.07	35.07	0	20891	90.98	3.56	0.91	2244	69.4
mean	63.51	90.2	6.2	1.09	4471	37.37	13.64	9.72	8445	63.15	15.71	6.9	4054	35.82	35.82	0.0	20771	90.98	3.18	0.91	2228	70.04
std	0.49	0.87	0.69	0.37	43	2.31	1.34	6.32	349	1.48	0.85	1.6	107	0.99	2.69	0.0	197	0.0	0.42	0.08	15	0.6
																						
Qwen 3 4B s50 ALPS+retrain																						wandb kkpyvjam	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260812_132642	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/kkpyvjam
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	65.04	91.2	5.2	0.87	4440	36.36	17.17	12.2	9662	67.47	9.43	4.45	2972	39.55	19.78	0	18249	90.6	1.67	0.25	2098	72.2
1	65.76	90.4	5.8	1.09	4399	37.88	19.19	16.67	9958	70.06	8.32	5.49	2905	39.93	19.78	0	18483	90.52	1.44	0.5	2078	72.73
42	66.29	91.0	6.4	2.15	4469	40.4	19.7	10.11	9512	66.54	11.09	3.49	3262	43.28	18.28	0	18266	90.22	1.52	0.42	2075	72.76
mean	65.69	90.87	5.8	1.37	4436	38.22	18.69	12.99	9711	68.02	9.61	4.47	3047	40.92	19.28	0.0	18333	90.45	1.54	0.39	2084	72.56
std	0.63	0.42	0.6	0.68	36	2.04	1.34	3.35	227	1.82	1.4	1.0	190	2.06	0.86	0.0	130	0.2	0.12	0.13	13	0.31
																						
Qwen 3 4B s50 Ours																						wandb s6b09k8f	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_060006	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/s6b09k8f
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	66.59	91.2	5.4	1.08	4514	41.92	14.14	8.79	8837	65.62	14.42	7.31	3426	41.42	17.16	0	17787	92.8	1.59	0.33	1962	72.76
1	65.91	92.0	6.0	0.22	4476	39.39	13.13	8.24	8486	63.22	14.42	7.57	3443	42.91	17.16	0	17621	92.04	1.9	0.49	1950	72.54
42	66.17	89.8	6.0	0.88	4628	42.93	11.11	8.6	8377	63.77	14.23	8.24	3529	42.91	16.04	0	17761	91.43	1.67	0.41	1944	71.98
mean	66.22	91.0	5.8	0.73	4539	41.41	12.79	8.54	8567	64.2	14.36	7.71	3466	42.41	16.79	0.0	17723	92.09	1.72	0.41	1952	72.43
std	0.34	1.11	0.35	0.45	79	1.82	1.54	0.28	240	1.26	0.11	0.48	55	0.86	0.65	0.0	89	0.68	0.16	0.08	9	0.4
																						
Qwen 3 4B s50 Ours w/o OPD (0.5/0.5/0)																						wandb prxftopo	cosmos1030/gmp-kd5e-1-s50pct-lr5e-5_20260915_130503	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/prxftopo
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	68.53	90.2	5.6	0.66	4446	48.99	11.11	5.83	8357	69.13	10.35	5.32	2834	44.03	8.21	0	16104	90.3	1.9	0.75	1807	73.41
1	66.67	91.2	5.4	0.65	4533	42.42	11.62	5.62	8553	65.62	11.28	7.07	2922	44.4	8.96	0	16545	89.69	1.59	0.34	1838	72.73
42	67.61	91.0	5.4	0.87	4406	41.92	11.11	6.74	8510	68.95	9.8	4.6	2738	45.15	12.31	0	17174	91.05	1.36	0.25	1805	74.04
mean	67.6	90.8	5.47	0.73	4462	44.44	11.28	6.06	8473	67.9	10.47	5.66	2831	44.53	9.83	0.0	16607	90.35	1.62	0.45	1817	73.39
std	0.93	0.53	0.12	0.12	65	3.94	0.29	0.6	103	1.98	0.75	1.27	92	0.57	2.19	0.0	538	0.68	0.27	0.27	18	0.66
																						
Qwen 3 4B s50 Ours w/o rollout refresh  [1/3 seeds complete]																						wandb stytmxbt	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_080351	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/stytmxbt
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
42	66.31	89.6	7.0	1.97	4586	43.43	13.64	7.53	8733	66.17	14.05	7.97	3444	41.04	18.66	0	18483	91.28	1.97	0.66	1941	72.02
																						
Qwen 3 4B s50 Ours, cubic schedule (pace-matched)  [1/3 seeds complete]																						wandb 0n389gjf	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_142204	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/0n389gjf
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
42	67.26	89.2	7.6	2.19	4656	45.45	9.09	5.26	8794	63.4	15.53	6.54	3614	46.27	15.3	0	17393	91.96	0.99	0.25	1839	72.71
																						
Qwen 3 4B s60 SparseGPT																						wandb rp0bi9rd	cosmos1030/sparsegpt-qwen3-4b-s60pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/rp0bi9rd
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	0.28	0.0	100	100	16384	0.0	99.49	100	16331	1.11	97.41	94.69	16074	0.0	100	100	32768	0.3	99.7	99.58	8174	0.35
1	0.71	0.0	99.8	100	16380	0.51	99.49	98.36	16339	2.96	95.93	87.4	15815	0	100	-	32768	0.08	99.85	99.9	8185	0.76
42	0.38	0.0	100	100	16384	0.0	100	100	16384	1.85	97.41	91.87	16024	0	100	-	32768	0.08	99.92	99.9	8191	0.48
mean	0.46	0.0	99.93	100.0	16383	0.17	99.66	99.45	16351	1.97	96.92	91.32	15971	0.0	100.0	-	32768	0.15	99.82	99.79	8183	0.53
std	0.22	0.0	0.12	0.0	2	0.29	0.29	0.95	29	0.93	0.85	3.68	137	0.0	0.0	-	0	0.13	0.12	0.18	8	0.21
																						
Qwen 3 4B s60 SparseGPT selfgen																						wandb 8fdustqf	/home1/doyoonkim/projects/elsa/models/qwen3_4b_sgpt_s60pct_n128_selfgenv3	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/8fdustqf
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	2.71	4.8	95.0	92.08	15745	0.0	99.49	100	16323	2.22	95.93	89.74	15958	0.0	100	100	32768	6.52	93.4	92.03	7866	3.38
1	3.11	5.8	94.0	90.58	15644	0.0	97.98	100	16175	2.96	94.82	86.99	15815	0.37	99.25	66.67	32634	6.44	93.56	92.11	7841	3.89
42	3.15	5.2	94.6	91.59	15695	1.01	95.45	96.23	15987	4.07	93.35	83.08	15729	0.0	99.25	100	32714	5.46	94.16	93.19	7877	3.68
mean	2.99	5.27	94.53	91.42	15695	0.34	97.64	98.74	16162	3.08	94.7	86.6	15834	0.12	99.5	88.89	32705	6.14	93.71	92.44	7861	3.65
std	0.24	0.5	0.5	0.76	51	0.58	2.04	2.18	169	0.93	1.3	3.35	116	0.22	0.43	19.25	67	0.59	0.4	0.65	19	0.26
																						
Qwen 3 4B s60 SparseLLM																						wandb xtprmhgu	/home/doyoonkim/models/sparsellm_4b_s60	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/xtprmhgu
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	35.38	63.4	33.6	15.47	7464	9.09	79.8	72.73	13860	16.08	68.21	52.2	11870	5.97	92.54	5.88	30918	82.34	10.39	3.21	2537	41.95
1	35.21	64.6	31.2	12.94	7321	9.6	75.76	70.31	13505	16.08	68.76	51.93	11805	3.73	95.15	16.67	31504	82.03	10.16	2.96	2474	41.61
42	34.12	61.4	33.2	15.19	7580	7.58	79.8	74.58	13963	15.71	69.32	55.5	11957	3.36	96.64	10.0	31927	82.56	9.55	3.37	2456	40.76
mean	34.9	63.13	32.67	14.53	7455	8.75	78.45	72.54	13776	15.96	68.76	53.21	11877	4.35	94.78	10.85	31450	82.31	10.03	3.18	2489	41.44
std	0.68	1.62	1.29	1.39	130	1.05	2.33	2.14	240	0.21	0.55	1.99	76	1.41	2.08	5.44	507	0.27	0.43	0.21	42	0.61
																						
Qwen 3 4B s60 ALPS																						wandb lesvnnsg	cosmos1030/alps-qwen3-4b-s60pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/lesvnnsg
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	38.82	69.6	27.4	15.53	6968	11.11	67.68	63.93	13375	17.74	70.43	48.66	12355	11.94	79.85	3.03	28576	83.7	10.08	4.25	3137	45.75
1	38.72	69.6	28.4	14.91	6905	11.62	67.17	59.65	12975	17.19	71.72	49.73	12448	12.31	80.22	2.94	28551	82.87	10.69	4.87	3107	45.49
42	39.7	69.2	28.0	16.83	6912	16.67	60.1	47.62	12610	18.48	69.32	45.95	12188	11.57	81.34	11.43	28662	82.56	10.46	4.56	3161	45.45
mean	39.08	69.47	27.93	15.76	6929	13.13	64.98	57.07	12987	17.81	70.49	48.11	12331	11.94	80.47	5.8	28596	83.04	10.41	4.56	3135	45.56
std	0.54	0.23	0.5	0.98	34	3.07	4.24	8.46	383	0.65	1.2	1.95	132	0.37	0.78	4.87	58	0.59	0.31	0.31	27	0.16
																						
Qwen 3 4B s60 ALPS selfgen																						wandb sqpjj6gu	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s60pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/sqpjj6gu
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	40.32	75.0	20.0	6.25	6123	15.66	62.63	55.07	12842	19.41	63.22	45.31	11315	6.34	89.93	0	30354	85.22	6.97	2.6	2792	46.49
1	40.85	76.0	18.4	5.94	6002	15.66	62.63	54.41	12791	20.15	62.66	42.93	11232	7.46	89.93	0	30469	84.99	7.28	2.61	2808	47.15
42	40.08	76.0	18.6	6.17	5963	13.64	69.19	59.7	13238	20.7	65.06	41.67	11519	5.6	92.54	0	30985	84.46	7.66	2.62	2830	46.69
mean	40.42	75.67	19.0	6.12	6029	14.98	64.81	56.4	12957	20.09	63.65	43.3	11355	6.47	90.8	0.0	30603	84.89	7.3	2.61	2810	46.78
std	0.39	0.58	0.87	0.16	83	1.17	3.79	2.88	245	0.65	1.26	1.85	148	0.94	1.51	0.0	336	0.39	0.34	0.01	19	0.34
																						
Qwen 3 4B s60 ALPS+retrain																						wandb vbd3dndv	cosmos1030/gmp-kd3e-1-s60pct-lr1e-4_20260814_193400	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/vbd3dndv
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	57.24	86.2	9.6	2.05	5323	32.83	31.82	17.72	11247	47.5	20.33	11.07	5529	32.09	29.85	0	20516	87.57	3.71	1.28	2719	63.34
1	56.8	86.2	8.8	1.6	5236	25.76	32.32	23.88	11433	51.57	14.79	7.0	4950	32.09	26.49	0	19767	88.4	3.03	0.77	2687	64.57
42	57.02	85.8	9.8	1.83	5409	30.81	32.83	23.75	11517	52.5	17.38	7.49	5162	27.61	29.85	0	20659	88.4	3.94	1.6	2721	63.58
mean	57.02	86.07	9.4	1.82	5323	29.8	32.32	21.78	11399	50.52	17.5	8.52	5214	30.6	28.73	0.0	20314	88.12	3.56	1.22	2709	63.83
std	0.22	0.23	0.53	0.22	86	3.64	0.51	3.52	138	2.66	2.77	2.22	293	2.59	1.94	0.0	479	0.48	0.47	0.42	19	0.65
																						
Qwen 3 4B s60 Ours																						wandb x2pcgf19	cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260901_075817	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/x2pcgf19
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	57.51	86.4	8.8	0.69	5146	32.83	25.25	13.33	10124	52.68	23.48	11.49	5025	27.24	35.45	0	20983	88.4	3.49	1.1	2174	63.68
1	58.4	86.2	8.2	0.69	5035	36.87	25.25	13.1	10250	50.83	23.66	12.42	5075	28.73	32.46	0	20228	89.39	3.26	0.92	2136	63.79
42	57.74	86.0	9.4	1.6	5237	35.86	21.21	13.41	9851	48.8	24.95	13.16	5257	28.73	33.58	0	20592	89.31	2.65	0.59	2120	63.21
mean	57.88	86.2	8.8	0.99	5139	35.19	23.91	13.28	10075	50.77	24.03	12.36	5119	28.23	33.83	0.0	20601	89.03	3.13	0.87	2144	63.56
std	0.46	0.2	0.6	0.53	101	2.1	2.33	0.17	204	1.94	0.81	0.84	122	0.86	1.51	0.0	378	0.55	0.43	0.26	28	0.31
																						
Qwen 3 4B s60 Ours w/o OPD (0.5/0.5/0)																						wandb s1pnmvoy	cosmos1030/gmp-kd5e-1-s60pct-lr5e-5_20260915_181935	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/s1pnmvoy
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	55.87	83.8	9.4	1.41	5341	31.82	25.25	18.18	10127	49.72	18.48	10.33	4359	26.12	23.51	0	19294	87.87	3.18	0.52	2152	61.88
1	56.28	83.8	10.8	3.01	5157	31.82	23.74	20.25	10199	51.02	17.38	9.8	4135	26.12	24.25	0	19602	88.63	2.88	1.1	2091	62.39
42	57.25	86.4	9.2	1.37	5128	32.83	20.71	16.67	9964	51.39	16.82	11.18	4097	28.36	23.51	0	19044	87.26	2.5	0.78	2100	63.35
mean	56.46	84.67	9.8	1.93	5209	32.15	23.23	18.37	10097	50.71	17.56	10.44	4197	26.87	23.76	0.0	19313	87.92	2.86	0.8	2114	62.54
