Qwen 3 1.7B s60 Ours [EXCLUDED]																						wandb padwnv7g	cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260901_121104	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_1.7b_nostrip8192/runs/padwnv7g
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	36.36	62.2	28.8	5.47	7789	12.12	69.7	56.36	13576	27.54	49.35	26.96	9144	3.36	87.31	0	29697	76.57	10.69	3.16	3118	42.42
1	36.26	62.8	27.4	4.27	7687	11.11	66.16	57.69	13476	28.28	46.58	28.5	8855	2.99	83.58	0	29215	76.12	10.46	1.95	3205	42.55
42	36.68	60.6	29.0	8.46	7912	12.63	59.6	56.14	13056	28.28	48.98	29.17	9182	4.48	87.31	0	29680	77.41	9.63	2.58	3135	42.69
mean	36.43	61.87	28.4	6.07	7796	11.95	65.15	56.73	13369	28.03	48.31	28.21	9060	3.61	86.07	0.0	29531	76.7	10.26	2.56	3152	42.55
std	0.22	1.14	0.87	2.16	113	0.77	5.13	0.84	276	0.43	1.51	1.13	179	0.78	2.15	0.0	274	0.65	0.56	0.61	46	0.14
																						
