label	avg	MATH	GPQA	IFEval	LCB	GSM8K	on_hub	url	ckpt	local_size	log
4B S60 d=999 lr=1e-4	51.84	79.20	33.84	49.91	15.67	80.59	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr1e-4_20260827_060409	gmp_s60pct_lr0.0001_onpol_lmda0.33_20260827_044241		queue_gmp_pgd_klgate_4b/s60_u_posttargetonly.log
4B S50	50.15	78.40	35.86	47.87	13.43	75.21	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260910_123215	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260910_111011	8.1 GB	alps_4b_24/alps_retrain_4b_n24_tok512_lr5e-05.log
4B S60 d=99999 lr=5e-5	50.03	75.60	29.80	51.57	13.43	79.76	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260903_072128	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260903_060508	8.1 GB	ablation_A3_nogate_4b/s60_nogate.log
4B S50	49.46	77.80	32.83	44.36	15.67	76.65	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260910_123504	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_111232	8.1 GB	alps_4b_24/alps_retrain_4b_n24_tok512_lr1e-4.log
4B 2:4 d=0.01 lr=1e-4	47.23	69.40	36.87	43.62	10.07	76.19	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260902_001033	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260901_224723	8.1 GB	queue_gmp_pgd_grow_to_target_4b_24/klb0.01.log
4B S70 d=0.02 lr=1e-4	45.58	72.40	35.86	39.93	8.21	71.49	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260901_080954	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260901_064301	8.1 GB	queue_gmp_pgd_grow_to_target_4b/s70_klb0.02.log
4B S70 d=0.02 lr=1e-4	45.27	72.40	31.82	41.96	5.97	74.22	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_165427	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_152806	8.1 GB	ablation_warmup_sweep_4b_s70/s70_warm512.log
4B 2:4 d=0.02 lr=1e-4	45.17	71.20	30.30	41.04	10.82	72.48	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260902_000809	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260901_224413	8.1 GB	queue_gmp_pgd_grow_to_target_4b_24/klb0.02.log
4B 2:4 d=999 lr=1e-4	44.51	68.80	28.79	43.81	7.46	73.69	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260826_230856	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260826_214103		queue_gmp_pgd_klgate_4b/s50_24_duringgrowth.log
4B 2:4 d=0.02 lr=1e-4 +comp	44.37	65.60	30.81	40.67	9.70	75.06	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260910_060458	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_044130	8.1 GB	nm_compensate/4b_24_klb0.02_comp_v2.log
