label	avg	MATH	GPQA	IFEval	LCB	GSM8K	on_hub	url	ckpt	local_size	log
8B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	48.92	76.00	39.39	42.51	10.07	76.65	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260909_201529	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260909_185223	16.4 GB	resweep2_opkdfix/s70_B1frozen_retry_resume.log
8B S70 lr=1e-4	48.06	73.60	34.85	45.47	11.19	75.21	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260825_152927	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260825_140241	16.4 GB	gmp_pgd_klgate_8b_s70_lr1e-4_fsdp2gpu_v2.launch.log
8B S70 d=0.05 lr=1e-4	47.49	77.00	32.32	43.07	6.34	78.70	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_232353	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_215808	16.4 GB	delta_sweep_8b_s70/s70_delta0.05.log
8B S70 d=0.02 lr=1e-4	47.21	74.40	36.87	40.48	5.97	78.32	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260901_225227	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260901_212817		queue_gmp_pgd_grow_to_target_8b/s70.log
8B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	46.80	76.00	31.31	39.74	9.33	77.63	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_081916	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_065525	16.4 GB	ablation_8b_s70_components/s70_B1_frozen.log
8B S70 d=0.01 lr=1e-4	46.74	73.60	31.31	42.33	10.82	75.66	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260902_234454	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260902_221712		queue_gmp_pgd_grow_to_target_8b/s70_klb0.01.log
8B S70	46.67	73.60	29.29	42.14	14.55	73.77	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260908_132323	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260908_115509	16.4 GB	alpssft512_8b/alpssft512_s70.log
8B S70 d=999 lr=1e-4	46.49	72.20	34.85	40.85	7.09	77.48	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260827_230324	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260827_230324		queue_gmp_pgd_klgate_8b/s70_u_duringgrowth.log
8B S70 ro=1	46.40	73.60	29.29	43.81	13.06	72.25	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260821_001630	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260820_225125	16.4 GB	alpssft_8b_b200_s70pct_lr1e-4/run.log
8B S70 d=99999 lr=1e-4	45.25	70.00	28.79	45.84	7.84	73.77	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_082817	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_070445	16.4 GB	ablation_8b_s70_components/s70_A3_nogate.log
8B S70 d=99999 lr=1e-4 B1frozen(ro=4096)	43.96	68.80	30.81	40.30	6.72	73.16	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_154514	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_142046	16.4 GB	ablation_8b_s70_components/s70_A3B1_nogate_frozen.log
8B S70 d=0.02 lr=1e-4	43.83	71.40	32.32	37.71	4.48	73.24	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260901_005858	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260831_232937	16.4 GB	queue_gmp_pgd_klgate_8b_cubic/s70_cubic.log
8B S70 d=0.02 lr=1e-4 jump	42.86	66.80	30.81	41.22	5.97	69.52	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260908_102348	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260908_085535	16.4 GB	resweep2_opkdfix/s70_A3jump_delta0.02.log
