label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
8B S60 d=0.01 lr=5e-5	s60_klb0.01	DONE	8B	58.87	81.20	42.93	65.80	21.64	82.79	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260902_215018	queue_gmp_pgd_grow_to_target_8b/s60_klb0.01_v2.log
8B S60 d=0.03 lr=5e-5	s60_delta0.03_opkdfix	DONE	8B	58.59	82.60	44.44	64.33	19.03	82.56	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260907_004138	opkdfix_8b_s50_s60_delta0.03/s60_delta0.03_opkdfix.log
8B S60 d=0.03 lr=5e-5	s60_delta0.03	DONE	8B	58.49	82.60	45.45	63.40	17.91	83.09	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260906_043957	delta_sweep_8b_s50_s60/s60_delta0.03.log
8B S60 d=0.02 lr=5e-5	s60	DONE	8B	58.06	81.20	42.93	65.99	17.91	82.26	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260901_153400	queue_gmp_pgd_grow_to_target_8b/s60.log
8B S60	alpssft512_s60	DONE	8B	57.61	82.80	37.37	65.99	22.76	79.15	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260908_042548	alpssft512_8b/alpssft512_s60.log
8B S60 d=0.02 lr=5e-5	s60_delta0.02	DONE	8B	57.29	83.00	36.87	65.43	19.40	81.73	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260907_141314	delta_resweep_opkdfix/s60_delta0.02.log
4B S60 lr=5e-5	gmp_pgd_klgate_4b_s60_lr5e-5_pgdint8_mi32.launch	DONE	4B	56.11	81.60	38.38	59.15	21.64	79.76	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260824_193304	gmp_pgd_klgate_4b_s60_lr5e-5_pgdint8_mi32.launch.log
4B S60 d=0.01 lr=5e-5	s60_klb0.01	DONE	4B	55.93	79.80	42.42	58.04	18.28	81.12	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260903_060056	queue_gmp_pgd_grow_to_target_4b/s60_klb0.01.log
8B S50	alpssft512_n24	DONE	8B	55.64	81.80	39.39	57.12	20.52	79.38	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260908_124044	alpssft512_8b/alpssft512_n24.log
4B S60 d=0.02 lr=5e-5	s60_klb0.02	DONE	4B	55.35	81.20	41.41	56.19	18.28	79.68	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260901_064159	queue_gmp_pgd_grow_to_target_4b/s60_klb0.02.log
4B S60 lr=5e-5	gmp_pgd_klgate_4b_s60_lr5e-5_mi32_opd512_v2.launch	DONE	4B	55.34	81.20	36.36	59.52	20.52	79.08	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260824_075436	gmp_pgd_klgate_4b_s60_lr5e-5_mi32_opd512_v2.launch.log
4B S60 rule=schedule	s60_A2sched_er0.5	DONE	4B	55.18	80.80	41.41	58.78	15.67	79.23	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260903_131140	ablation_A2_schedule_4b/s60_A2sched_er0.5.log
8B S50 ro=1	run	DONE	8B	55.06	82.00	38.89	59.52	16.42	78.47	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260821_140855	alpssft_8b_b200_n24_lr1e-4/run.log
4B S60 rule=schedule	s60_A2sched_matched	DONE	4B	54.60	81.20	37.37	57.49	16.42	80.52	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260903_131440	ablation_A2_schedule_4b/s60_A2sched_matched.log
8B S60 d=999 lr=1e-4	s60_u_duringgrowth	DONE	8B	53.80	80.00	35.86	54.71	19.03	79.38	5	2048	2048	0		gmp_s60pct_lr0.0001_onpol_lmda0.33_20260827_133331	queue_gmp_pgd_klgate_8b/s60_u_duringgrowth.log
4B S60 d=0.02 lr=5e-5 B1frozen(ro=4096)	s60_ro4096	DONE	4B	53.70	79.60	36.36	56.56	15.67	80.29	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260903_065427	ablation_B1_frozen_pool_4b/s60_ro4096.log
8B 2:4 d=0.01 lr=1e-4	n24_klb0.01	DONE	8B	52.64	74.20	34.85	60.44	17.16	76.57	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_030026	resweep2_opkdfix/n24_klb0.01_resume.log
4B S60 d=99999 lr=5e-5 B1frozen(ro=4096)	s60_nogate_frozen	DONE	4B	52.46	76.00	33.33	55.64	16.42	80.89	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260904_191151	ablation_A3B1_nogate_frozen_4b/s60_nogate_frozen.log
8B 2:4 d=0.02 lr=1e-4	n24_klb0.02	DONE	8B	52.20	74.60	33.84	59.70	15.67	77.18	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_042748	resweep2_opkdfix/n24_klb0.02.log
4B S60 d=999 lr=1e-4	s60_u_duringgrowth	DONE	4B	52.13	79.20	34.34	51.39	16.79	78.92	5	2048	2048	0		gmp_s60pct_lr0.0001_onpol_lmda0.33_20260826_215546	queue_gmp_pgd_klgate_4b/s60_u_duringgrowth.log
4B S60 d=999 lr=1e-4	s60_u_posttargetonly	DONE	4B	51.84	79.20	33.84	49.91	15.67	80.59	5	2048	2048	0		gmp_s60pct_lr0.0001_onpol_lmda0.33_20260827_044241	queue_gmp_pgd_klgate_4b/s60_u_posttargetonly.log
