label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
8B S50 d=0.02 lr=5e-5	smoke_s50	DEAD	8B							0	8	20	0			debug_grow_to_target_8b/smoke_s50.log
8B S50 d=0.02 lr=5e-5	smoke_s50	DEAD	8B							0	8	20	0			debug_grow_to_target_8b/smoke_s50_v2.log
8B S50 d=0.02 lr=5e-5	smoke_s50	DEAD	8B							0	8	20	0			debug_grow_to_target_8b/smoke_s50_v3.log
8B S50 d=0.02 lr=5e-5	smoke_s50	DEAD	8B							0	8	20	0			debug_grow_to_target_8b/smoke_s50_v4.log
8B S50 d=0.02 lr=5e-5	verify_fix_s50	DEAD	8B							0	40	40	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260901_105142	debug_grow_to_target_8b/verify_fix_s50.log
8B S50 d=0.005 lr=5e-5	s50_delta0.005_1gpu	DEAD	8B							0	8	2048	0			delta005_1gpu/s50_delta0.005_1gpu.log
4B S50 d=0.02 lr=5e-5 ro=16	gmp_pgd_klgate_4b_s50_lr5e-5.launch	DEAD	4B							0	134	2048	0			gmp_pgd_klgate_4b_s50_lr5e-5.launch.log
4B S60 d=0.02 lr=1e-4 ro=16	gmp_pgd_klgate_4b_s60_lr1e-4.launch	DEAD	4B							0	43	2048	0			gmp_pgd_klgate_4b_s60_lr1e-4.launch.log
4B S60 lr=1e-4	gmp_pgd_klgate_4b_s60_lr1e-4_bs2_mi32_opd512.launch	DEAD	4B							0	88	2048	0			gmp_pgd_klgate_4b_s60_lr1e-4_bs2_mi32_opd512.launch.log
4B S60 d=0.02 lr=1e-4 ro=16	gmp_pgd_klgate_4b_s60_lr1e-4_bs2_retry.launch	DEAD	4B							0	140	2048	0			gmp_pgd_klgate_4b_s60_lr1e-4_bs2_retry.launch.log
4B S60 lr=1e-4	gmp_pgd_klgate_4b_s60_lr1e-4_bs2_sdpa_klchunk_mi32_opd512.launch	DEAD	4B							0	210	2048	0			gmp_pgd_klgate_4b_s60_lr1e-4_bs2_sdpa_klchunk_mi32_opd512.launch.log
4B S60 lr=1e-4	gmp_pgd_klgate_4b_s60_lr1e-4_bs2_sdpa_mi32_opd512.launch	DEAD	4B							0	2	2048	0			gmp_pgd_klgate_4b_s60_lr1e-4_bs2_sdpa_mi32_opd512.launch.log
4B S60 d=0.02 lr=5e-5 ro=16	gmp_pgd_klgate_4b_s60_lr5e-5.launch	DEAD	4B							0	133	2048	0			gmp_pgd_klgate_4b_s60_lr5e-5.launch.log
4B S60 d=0.02 lr=5e-5	gmp_pgd_klgate_4b_s60_lr5e-5_mi32_opd512.launch	DEAD	4B							0	7	2048	0			gmp_pgd_klgate_4b_s60_lr5e-5_mi32_opd512.launch.log
4B S70 d=0.02 lr=1e-4 ro=16	gmp_pgd_klgate_4b_s70_lr1e-4.launch	DEAD	4B							0	129	2048	0			gmp_pgd_klgate_4b_s70_lr1e-4.launch.log
8B S50 lr=5e-5	gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_pgdint8.launch	DEAD	8B							0	47	2048	0			gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_pgdint8.launch.log
8B S50 lr=5e-5	gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_vllm010.launch	DEAD	8B							0	39	2048	0			gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_vllm010.launch.log
8B S60 lr=5e-5	gmp_pgd_klgate_8b_s60_lr5e-5_fsdp2gpu_pgdint8_v2.launch	DEAD	8B							0	39	2048	0			gmp_pgd_klgate_8b_s60_lr5e-5_fsdp2gpu_pgdint8_v2.launch.log
8B S60 lr=5e-5	gmp_pgd_klgate_8b_s60_lr5e-5_fsdp2gpu_vllm010.launch	DEAD	8B							0	39	2048	0			gmp_pgd_klgate_8b_s60_lr5e-5_fsdp2gpu_vllm010.launch.log
8B 2:4 d=0.02 lr=1e-4 +comp	8b_24_klb0.02_comp	DEAD	8B							0	15	2048	2	0.0		nm_compensate/8b_24_klb0.02_comp.log
8B S70 d=0.03 lr=1e-4	s70_delta0.03_opkdfix	DEAD	8B							0	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260906_105649	opkdfix_8b_s70_delta0.03/s70_delta0.03_opkdfix.log
8B S50 d=0.02 lr=5e-5	s50	DEAD	8B							0	7	2048	0			queue_gmp_pgd_grow_to_target_8b/s50.log
8B S60 d=0.01 lr=5e-5	s60_klb0.01	DEAD	8B							0	823	2048	0			queue_gmp_pgd_grow_to_target_8b/s60_klb0.01.log
8B 2:4 d=0.005 lr=1e-4	klb0.005	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.005.log
8B 2:4 d=0.005 lr=1e-4	klb0.005	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.005_v2.log
8B 2:4 d=0.005 lr=1e-4	klb0.005	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.005_v3.log
8B 2:4 d=0.005 lr=1e-4	klb0.005	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.005_v4.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01.log
8B 2:4 d=0.01 lr=1e-4	klb0.01_debug	DEAD	8B							0	8	20	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_debug.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	23	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v10.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	15	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v11.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	199	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v12.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v2.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v3.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v4.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v5.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	8	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v6.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	15	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v7.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	15	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v8.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DEAD	8B							0	15	2048	0			queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v9.log
4B S50 d=0.02 lr=5e-5	s50_capped_reversekl	DEAD	4B							0	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260828_125227	queue_gmp_pgd_klgate_4b_reversekl/s50_capped_reversekl.log
4B S50 d=999 lr=5e-5	s50_uncapped_reversekl	DEAD	4B							0	2048	2048	0		gmp_s50pct_lr5e-05_onpol_lmda0.33_20260828_125050	queue_gmp_pgd_klgate_4b_reversekl/s50_uncapped_reversekl.log
8B 2:4 d=0.02 lr=1e-4	s50_24_cubic	DEAD	8B							0	1543	2048	0			queue_gmp_pgd_klgate_8b_cubic/s50_24_cubic.log
8B S60 d=0.02 lr=5e-5	s60_cubic	DEAD	8B			42.42	62.29	20.90	81.35	4	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260831_174634	queue_gmp_pgd_klgate_8b_cubic/s60_cubic.log
8B 2:4 d=0.005 lr=1e-4	n24_klb0.005	LIVE	8B							0	24	2048	0			resweep2_opkdfix/n24_klb0.005.log
8B 2:4 d=0.01 lr=1e-4	n24_klb0.01	SUPERSEDED	8B							0	559	2048	0			resweep2_opkdfix/n24_klb0.01.log
8B S70 d=0.02 lr=1e-4 jump B1frozen(ro=4096)	s70_A3B1jump_delta0.02	DEAD	8B							0	43	2048	0			resweep2_opkdfix/s70_A3B1jump_delta0.02.log
8B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	s70_B1frozen_delta0.02	DEAD	8B							0	39	2048	0			resweep2_opkdfix/s70_B1frozen_delta0.02.log
8B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	s70_B1frozen	DEAD	8B							0	911	2048	0			resweep2_opkdfix/s70_B1frozen_retry.log
4B S50 ro=4	smoke	DEAD	4B							0	8	8	0			smoke_gmp_pgd_klgate_4b/smoke.log
4B S50 ro=4	smoke2	DEAD	4B							0	8	8	0			smoke_gmp_pgd_klgate_4b/smoke2.log
8B S70 d=0.03 lr=1e-4	resume	DEAD	8B							0	36	48	0			smoke_opkd_slice_ckpt/resume.log
8B S70 d=0.03 lr=1e-4	smoke	DEAD	8B							0	36	48	0			smoke_opkd_slice_ckpt/smoke.log
8B S50 ro=1	run	DEAD	8B							0	375	2048	0			trgmp_8b_b200_n24_lr1e-4_kl0.02/run.log
8B S50 ro=1	trgmp_8b_b200_n24_lr1e-4_kl0.02_mi32.launch	DEAD	8B							0	3	2048	0			trgmp_8b_b200_n24_lr1e-4_kl0.02_mi32.launch.log
8B S50 ro=1	trgmp_8b_b200_n24_lr1e-4_kl0.02_mi32_pgd_klshare.launch	DEAD	8B							0	1	2048	0			trgmp_8b_b200_n24_lr1e-4_kl0.02_mi32_pgd_klshare.launch.log
8B S50 ro=1	run	DEAD	8B							0	322	2048	0			trgmp_8b_b200_n24_lr1e-4_kl0.02_v2/run.log
8B S50 ro=1	run	DEAD	8B							0	79	2048	0			trgmp_8b_b200_n24_lr1e-4_kl0.02_v3/run.log
