step,train/sparsity,train/target_sparsity,train/grad_norm,train/loss,train/ntp_loss,train/onpolicy_kd_loss,train/aux_loss,train/lr,onpolicy/kl_loss,onpolicy/overlap_ratio_top100,onpolicy/entropy_gap,onpolicy/student_entropy,onpolicy/teacher_entropy,onpolicy/gen_tokens,pgd/kl_at_full_pgd,pgd/kl_at_k_actual,pgd/kl_budget,pgd/k_actual,pgd/post_sparsity,pgd/prunings,pgd/revivals,pgd/turnover,pgd/net_growth,pgd/n_prune_cand,pgd/n_revive_cand
513,0.7000018271847047,0.49319963827729224,0.74609375,0.7593138590455055,2.044713467359543,0.09918665513396263,0.25623757392168045,9.501034165536619e-05,0.09918665513396263,0.7356005758047104,0.20684242248535156,0.7611226439476013,0.5542802214622498,512,,,,,,,,,,,
514,0.7000018271847047,0.4938054983262663,0.69921875,0.6557801216840744,1.7118303328752518,0.09536155965179205,0.2753820773214102,9.497210157938234e-05,0.09536155965179205,0.7372656166553497,0.17127232253551483,0.6595791876316071,0.4883068650960922,512,,,,,,,,,,,
515,0.7000018271847047,0.4944101738984937,0.625,0.37217215821146965,0.9856873154640198,0.11456120945513248,0.14210708625614643,9.49337232846977e-05,0.11456120945513248,0.7412158101797104,0.18677576631307602,0.78239306807518,0.595617301762104,512,,,,,,,,,,,
516,0.7000018271847047,0.49501366615295406,0.52734375,0.2919727489352226,0.7715420126914978,0.11737480759620667,0.113223847001791,9.489520688926534e-05,0.11737480759620667,0.7357177734375,0.09918619692325592,0.7489041537046432,0.6497179567813873,512,,,,,,,,,,,
517,0.7000018271847047,0.4956159762486264,0.7421875,0.4178759455680847,1.1193044483661652,0.09527839720249176,0.14698626659810543,9.48565525114628e-05,0.09527839720249176,0.7361865043640137,0.1683839112520218,0.6626928374171257,0.4943089261651039,512,,,,,,,,,,,
518,0.7000018271847047,0.4962171053444897,0.86328125,0.6934557110071182,1.8596242815256119,0.14855293557047844,0.24175656586885452,9.481776027009167e-05,0.14855293557047844,0.7423241883516312,0.19694728404283524,1.082894816994667,0.8859475329518318,512,,,,,,,,,,,
519,0.7000018271847047,0.4968170545995235,0.7890625,0.633549265563488,1.6716155409812927,0.1513952761888504,0.2482306770980358,9.477883028437728e-05,0.1513952761888504,0.7300634831190109,0.059889212250709534,1.318162515759468,1.2582733035087585,512,,,,,,,,,,,
520,0.7000018271847047,0.4974158251727069,0.7734375,0.4825581721961498,1.2379758954048157,0.1489213164895773,0.2243215460330248,9.473976267396831e-05,0.1489213164895773,0.7438574135303497,0.09946335852146149,0.9794483482837677,0.8799849897623062,512,0.0005596459959633648,0.00035536865470930934,0.03,63,0.7000018271847047,63,63,80,2,6710,19355
521,0.7000018271847047,0.4980134182230189,0.546875,0.5491476953029633,1.4714177250862122,0.14597702585160732,0.19266615621745586,9.470055755893638e-05,0.14597702585160732,0.743339791893959,0.11371435970067978,0.9287334680557251,0.8150191083550453,512,,,,,,,,,,,
522,0.7000018271847047,0.49860983490943905,0.58984375,0.6174356639385223,1.6436573714017868,0.12920894101262093,0.22735967859625816,9.466121505977577e-05,0.12920894101262093,0.7286425530910492,0.14125803112983704,0.8729960545897484,0.7317380234599113,512,,,,,,,,,,,
