Qwen 3 4B dense																						wandb b2rdczje	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/b2rdczje
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
mean	64.14	89.87	6.8	0.89	4093	39.9	15.49	13.13	8101	67.16	18.67	8.8	4362	33.08	39.3	0.0	21117	90.67	2.27	0.61	1825	70.2
std	0.43	0.58	0.0	0.23	40	3.31	1.91	1.19	349	1.51	1.03	1.06	147	0.78	0.43	0.0	93	0.4	0.23	0.1	16	0.45
																						
Qwen 3 4B s50 ALPS																						wandb kdimp4bo	cosmos1030/alps-qwen3-4b-s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/kdimp4bo
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	65.35	92.2	5.4	1.08	4195	39.9	17.17	11.39	8517	69.32	18.85	8.27	4788	33.58	29.85	0	19876	91.74	3.11	0.83	2271	71.71
1	64.51	92.4	5.6	0.87	4227	40.4	15.15	15.0	8297	67.28	18.11	7.14	4656	30.6	32.09	0	19950	91.89	3.34	0.99	2327	70.54
42	64.56	91.8	6.6	1.74	4301	38.89	14.65	6.49	8342	68.21	20.52	10.03	4943	32.09	30.6	0	20100	91.81	2.81	0.33	2281	70.98
mean	64.81	92.13	5.87	1.23	4241	39.73	15.66	10.96	8385	68.27	19.16	8.48	4795	32.09	30.85	0.0	19975	91.81	3.08	0.72	2293	71.08
std	0.47	0.31	0.64	0.46	54	0.77	1.34	4.27	116	1.02	1.23	1.45	143	1.49	1.14	0.0	115	0.08	0.27	0.34	30	0.59
																						
Qwen 3 4B s50 ALPS selfgen																						wandb 8yyyu8ow	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s50pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/8yyyu8ow
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	65.92	92.4	5.4	1.3	4474	40.91	13.13	7.41	8401	68.95	14.79	6.17	3934	35.45	33.58	0	20543	91.89	2.73	0.99	2214	72.17
1	65.54	90.2	6.6	0.67	4513	41.92	15.15	16.87	8814	66.91	16.45	5.8	4142	36.94	38.81	0	20878	91.74	3.26	0.83	2227	71.45
42	65.39	91.0	6.6	1.32	4427	41.41	12.63	4.88	8121	67.65	15.9	8.74	4084	35.07	35.07	0	20891	91.81	3.56	0.91	2244	71.38
mean	65.62	91.2	6.2	1.09	4471	41.41	13.64	9.72	8445	67.84	15.71	6.9	4054	35.82	35.82	0.0	20771	91.81	3.18	0.91	2228	71.67
std	0.27	1.11	0.69	0.37	43	0.51	1.34	6.32	349	1.03	0.85	1.6	107	0.99	2.69	0.0	197	0.08	0.42	0.08	15	0.44
																						
Qwen 3 4B s50 ALPS+retrain																						wandb kkpyvjam	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260812_132642	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/kkpyvjam
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	66.88	92.0	5.2	0.87	4440	41.41	17.17	12.2	9662	70.61	9.43	4.45	2972	39.55	19.78	0	18249	90.83	1.67	0.25	2098	73.25
1	68.38	91.4	5.8	1.09	4399	45.45	19.19	16.67	9958	74.12	8.32	5.49	2905	39.93	19.78	0	18483	90.98	1.44	0.5	2078	74.11
42	68.16	93.0	6.4	2.15	4469	44.95	19.7	10.11	9512	68.95	11.09	3.49	3262	43.28	18.28	0	18266	90.6	1.52	0.42	2075	73.96
mean	67.8	92.13	5.8	1.37	4436	43.94	18.69	12.99	9711	71.23	9.61	4.47	3047	40.92	19.28	0.0	18333	90.8	1.54	0.39	2084	73.77
std	0.81	0.81	0.6	0.68	36	2.2	1.34	3.35	227	2.64	1.4	1.0	190	2.06	0.86	0.0	130	0.19	0.12	0.13	13	0.46
																						
Qwen 3 4B s50 Ours																						wandb s6b09k8f	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_060006	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/s6b09k8f
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	68.69	92.2	5.4	1.08	4514	45.96	14.14	8.79	8837	70.79	14.42	7.31	3426	41.42	17.16	0	17787	93.1	1.59	0.33	1962	74.38
1	67.79	92.2	6.0	0.22	4476	42.93	13.13	8.24	8486	68.39	14.42	7.57	3443	42.91	17.16	0	17621	92.49	1.9	0.49	1950	74.0
42	68.36	90.6	6.0	0.88	4628	46.97	11.11	8.6	8377	69.5	14.23	8.24	3529	42.91	16.04	0	17761	91.81	1.67	0.41	1944	73.71
mean	68.28	91.67	5.8	0.73	4539	45.29	12.79	8.54	8567	69.56	14.36	7.71	3466	42.41	16.79	0.0	17723	92.47	1.72	0.41	1952	74.03
std	0.46	0.92	0.35	0.45	79	2.1	1.54	0.28	240	1.2	0.11	0.48	55	0.86	0.65	0.0	89	0.64	0.16	0.08	9	0.34
																						
Qwen 3 4B s50 Ours w/o OPD (0.5/0.5/0)																						wandb prxftopo	cosmos1030/gmp-kd5e-1-s50pct-lr5e-5_20260915_130503	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/prxftopo
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	70.17	90.8	5.6	0.66	4446	52.02	11.11	5.83	8357	73.01	10.35	5.32	2834	44.03	8.21	0	16104	90.98	1.9	0.75	1807	74.71
1	68.35	91.8	5.4	0.65	4533	44.95	11.62	5.62	8553	70.61	11.28	7.07	2922	44.4	8.96	0	16545	89.99	1.59	0.34	1838	74.2
42	69.09	91.8	5.4	0.87	4406	44.95	11.11	6.74	8510	72.27	9.8	4.6	2738	45.15	12.31	0	17174	91.28	1.36	0.25	1805	75.13
mean	69.2	91.47	5.47	0.73	4462	47.31	11.28	6.06	8473	71.97	10.47	5.66	2831	44.53	9.83	0.0	16607	90.75	1.62	0.45	1817	74.68
std	0.91	0.58	0.12	0.12	65	4.08	0.29	0.6	103	1.23	0.75	1.27	92	0.57	2.19	0.0	538	0.67	0.27	0.27	18	0.46
																						
Qwen 3 4B s50 Ours w/o rollout refresh  [1/3 seeds complete]																						wandb stytmxbt	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_080351	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/stytmxbt
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
42	68.64	91.4	7.0	1.97	4586	46.97	13.64	7.53	8733	71.9	14.05	7.97	3444	41.04	18.66	0	18483	91.89	1.97	0.66	1941	74.06
																						
Qwen 3 4B s50 Ours, cubic schedule (pace-matched)  [1/3 seeds complete]																						wandb 0n389gjf	cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260903_142204	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/0n389gjf
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
42	69.1	91.2	7.6	2.19	4656	47.98	9.09	5.26	8794	67.84	15.53	6.54	3614	46.27	15.3	0	17393	92.19	0.99	0.25	1839	74.37
																						
Qwen 3 4B s60 SparseGPT																						wandb rp0bi9rd	cosmos1030/sparsegpt-qwen3-4b-s60pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/rp0bi9rd
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	33.92	53.6	100	100	16384	23.23	99.49	100	16331	20.89	97.41	94.69	16074	0.37	100	100	32768	71.49	99.7	99.58	8174	36.59
1	36.38	54.0	99.8	100	16380	30.81	99.49	98.36	16339	23.48	95.93	87.4	15815	0	100	-	32768	73.62	99.85	99.9	8185	37.77
42	33.97	53.4	100	100	16384	21.21	100	100	16384	22.74	97.41	91.87	16024	0	100	-	32768	72.48	99.92	99.9	8191	37.15
mean	34.75	53.67	99.93	100.0	16383	25.08	99.66	99.45	16351	22.37	96.92	91.32	15971	0.12	100.0	-	32768	72.53	99.82	99.79	8183	37.17
std	1.41	0.31	0.12	0.0	2	5.06	0.29	0.95	29	1.33	0.85	3.68	137	0.22	0.0	-	0	1.06	0.12	0.18	8	0.59
																						
Qwen 3 4B s60 SparseGPT selfgen																						wandb 8fdustqf	/home1/doyoonkim/projects/elsa/models/qwen3_4b_sgpt_s60pct_n128_selfgenv3	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/8fdustqf
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	38.64	60.6	95.0	92.08	15745	28.79	99.49	100	16323	21.63	95.93	89.74	15958	0.37	100	100	32768	81.8	93.4	92.03	7866	41.1
1	38.57	61.6	94.0	90.58	15644	25.76	97.98	100	16175	22.74	94.82	86.99	15815	1.12	99.25	66.67	32634	81.65	93.56	92.11	7841	41.78
42	38.62	61.8	94.6	91.59	15695	26.77	95.45	96.23	15987	24.03	93.35	83.08	15729	0.37	99.25	100	32714	80.14	94.16	93.19	7877	41.58
mean	38.61	61.33	94.53	91.42	15695	27.1	97.64	98.74	16162	22.8	94.7	86.6	15834	0.62	99.5	88.89	32705	81.2	93.71	92.44	7861	41.49
std	0.03	0.64	0.5	0.76	51	1.54	2.04	2.18	169	1.2	1.3	3.35	116	0.43	0.43	19.25	67	0.92	0.4	0.65	19	0.35
																						
Qwen 3 4B s60 SparseLLM																						wandb xtprmhgu	/home/doyoonkim/models/sparsellm_4b_s60	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/xtprmhgu
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	46.68	75.0	33.6	15.47	7464	33.33	79.8	72.73	13860	33.64	68.21	52.2	11870	6.34	92.54	5.88	30918	85.06	10.39	3.21	2537	50.01
1	45.8	74.2	31.2	12.94	7321	32.32	75.76	70.31	13505	33.46	68.76	51.93	11805	4.48	95.15	16.67	31504	84.53	10.16	2.96	2474	49.17
42	45.34	72.4	33.2	15.19	7580	29.8	79.8	74.58	13963	35.3	69.32	55.5	11957	3.73	96.64	10.0	31927	85.44	9.55	3.37	2456	49.22
mean	45.94	73.87	32.67	14.53	7455	31.82	78.45	72.54	13776	34.13	68.76	53.21	11877	4.85	94.78	10.85	31450	85.01	10.03	3.18	2489	49.47
std	0.68	1.33	1.29	1.39	130	1.82	2.33	2.14	240	1.02	0.55	1.99	76	1.35	2.08	5.44	507	0.46	0.43	0.21	42	0.47
																						
Qwen 3 4B s60 ALPS																						wandb lesvnnsg	cosmos1030/alps-qwen3-4b-s60pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/lesvnnsg
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	49.5	82.4	27.4	15.53	6968	30.81	67.68	63.93	13375	34.57	70.43	48.66	12355	12.31	79.85	3.03	28576	87.41	10.08	4.25	3137	54.17
1	48.92	81.8	28.4	14.91	6905	28.79	67.17	59.65	12975	34.2	71.72	49.73	12448	12.69	80.22	2.94	28551	87.11	10.69	4.87	3107	53.95
42	49.76	83.2	28.0	16.83	6912	31.82	60.1	47.62	12610	34.2	69.32	45.95	12188	13.06	81.34	11.43	28662	86.5	10.46	4.56	3161	54.24
mean	49.39	82.47	27.93	15.76	6929	30.47	64.98	57.07	12987	34.32	70.49	48.11	12331	12.69	80.47	5.8	28596	87.01	10.41	4.56	3135	54.12
std	0.43	0.7	0.5	0.98	34	1.54	4.24	8.46	383	0.21	1.2	1.95	132	0.37	0.78	4.87	58	0.46	0.31	0.31	27	0.15
																						
Qwen 3 4B s60 ALPS selfgen																						wandb sqpjj6gu	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s60pct	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/sqpjj6gu
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	48.83	80.0	20.0	6.25	6123	34.85	62.63	55.07	12842	35.49	63.22	45.31	11315	6.34	89.93	0	30354	87.49	6.97	2.6	2792	52.33
1	49.03	80.8	18.4	5.94	6002	34.34	62.63	54.41	12791	35.3	62.66	42.93	11232	7.46	89.93	0	30469	87.26	7.28	2.61	2808	52.71
42	48.53	81.0	18.6	6.17	5963	33.84	69.19	59.7	13238	35.49	65.06	41.67	11519	5.6	92.54	0	30985	86.73	7.66	2.62	2830	52.2
mean	48.8	80.6	19.0	6.12	6029	34.34	64.81	56.4	12957	35.43	63.65	43.3	11355	6.47	90.8	0.0	30603	87.16	7.3	2.61	2810	52.41
std	0.25	0.53	0.87	0.16	83	0.51	3.79	2.88	245	0.11	1.26	1.85	148	0.94	1.51	0.0	336	0.39	0.34	0.01	19	0.26
																						
Qwen 3 4B s60 ALPS+retrain																						wandb vbd3dndv	cosmos1030/gmp-kd3e-1-s60pct-lr1e-4_20260814_193400	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_4b_nostrip8192/runs/vbd3dndv
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	60.42	88.0	9.6	2.05	5323	39.9	31.82	17.72	11247	53.42	20.33	11.07	5529	32.09	29.85	0	20516	88.7	3.71	1.28	2719	65.55
1	59.61	87.6	8.8	1.6	5236	33.84	32.32	23.88	11433	55.45	14.79	7.0	4950	32.09	26.49	0	19767	89.08	3.03	0.77	2687	66.06
42	60.4	87.4	9.8	1.83	5409	40.4	32.83	23.75	11517	56.75	17.38	7.49	5162	27.61	29.85	0	20659	89.84	3.94	1.6	2721	65.4
mean	60.15	87.67	9.4	1.82	5323	38.05	32.32	21.78	11399	55.21	17.5	8.52	5214	30.6	28.73	0.0	20314	89.21	3.56	1.22	2709	65.67
std	0.46	0.31	0.53	0.22	86	3.65	0.51	3.52	138	1.68	2.77	2.22	293	2.59	1.94	0.0	479	0.58	0.47	0.42	19	0.34
																						
