block	wandb_id	run_name	state	seeds	checkpoint	train_run	ntp	kd	opd	rollout_interval	rollout_len	fixed_mask	pgd	kl_budget	tr	growth	mask_interval	steps	lr	seqlen
Qwen 3 4B s80 ALPS+retrain	q6vjas4j	gmp_s80pct_onpol_lam0.33_tok512_lr0.0001_2048steps_alpssft4b_s80pct_lr	finished	1,42	cosmos1030/gmp-kd3e-1-4b-s80pct-lr1e-4_20260917_112952	q6vjas4j	0.33	0.33	0.33	32	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s80 ALPS+retrain	phrzgtlq	s3_4b_s80_alpsretrain_seed1	finished	1,42	cosmos1030/gmp-kd3e-1-4b-s80pct-lr1e-4_20260917_112952	q6vjas4j	0.33	0.33	0.33	32	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s80 ALPS+retrain OPD-only (0/0/1.0)	n9omc089	gmp_s80pct_onpol_lam1.0_tok512_lr0.0001_2048steps_alpssft4b_s80pct_lr1	finished	42	cosmos1030/gmp-4b-s80pct-lr1e-4_20260918_071932	n9omc089	0	0	1	32	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s80 ALPS+retrain w/o OPD	crdshw6m	gmp_s80pct_kd0.5_lr0.0001_2048steps_alpssft4b_s80pct_lr1e-4_2term_ot3_	finished	0,1,42	cosmos1030/gmp-kd5e-1-4b-s80pct-lr1e-4_20260917_102335	crdshw6m	0.5	0.5	0	32	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s80 ALPS+retrain w/o OPD	fkndzhi2	s3_4b_s80_alpsretrain_noopd	failed	0,1,42	cosmos1030/gmp-kd5e-1-4b-s80pct-lr1e-4_20260917_102335	crdshw6m	0.5	0.5	0	32	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s80 Ours	0qeykb19	s3_4b_s80_ours_s42	finished	0,1,42	cosmos1030/gmp-kd3e-1-s80pct-lr1e-4_20260916_220740	q0kmiudv	0.33	0.33	0.33	32	512	False	True	0.02	False	cubic	32	2048	None	8192
Qwen 3 4B s80 Ours	ush52nf1	s3_4b_s80_ours_s01	finished	0,1,42	cosmos1030/gmp-kd3e-1-s80pct-lr1e-4_20260916_220740	q0kmiudv	0.33	0.33	0.33	32	512	False	True	0.02	False	cubic	32	2048	None	8192
Qwen 3 4B s80 Ours + DPO (lr1e-5, ep0.4)	9s01x120	s3_4b_s80_dpo_lr1e5_ep04_s42	finished	0,1,42	Riasok/dpo-scout-s80-ultrafeedback-lr1e-5-beta0.05-epoch0.4_20260918															
Qwen 3 4B s80 Ours + DPO (lr1e-5, ep0.4)	p6492hqj	s3_4b_s80_dpo_lr1e5_s01	finished	0,1,42	Riasok/dpo-scout-s80-ultrafeedback-lr1e-5-beta0.05-epoch0.4_20260918															
Qwen 3 4B s80 Ours + DPO (lr5e-6, ep1.0)	vv5x9gx3	s3_4b_s80_dpo_lr5e6_ep10_s42	finished	0,1,42	Riasok/dpo-scout-s80-ultrafeedback-lr5e-6-beta0.05-epoch1.0_20260918															
Qwen 3 4B s80 Ours + DPO (lr5e-6, ep1.0)	opr5gbsx	s3_4b_s80_dpo_lr5e6_s01	finished	0,1,42	Riasok/dpo-scout-s80-ultrafeedback-lr5e-6-beta0.05-epoch1.0_20260918															
Qwen 3 4B s80 Cubic schedule, no PGD (pace-matched)	5scafjrm	s3_4b_cubicnopgd_s80_seed42	finished	42	/NHNHOME/log-postech/doyoonkim/models/gmp_4b_s80pct_lr0.0001_onpol_lmda0.33_20260922_181742_p13958															
Qwen 3 4B s80 s3_4b_frozenpool_s80_seed42	sg28h4lr	s3_4b_frozenpool_s80_seed42	finished	42	/NHNHOME/log-postech/doyoonkim/models/gmp_4b_s80pct_lr0.0001_onpol_lmda0.33_20260922_062919_p332553															
