Qwen 3 8B dense																						wandb xp6jch5n	/home1/doyoonkim/.cache/huggingface/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_8b_nostrip8192/runs/xp6jch5n
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	76.86	94.6	3.4	0.63	4544	54.04	4.55	2.73	7527	83.73	2.22	0.88	1320	56.72	2.99	0	14489	95.22	0.91	0.24	1961	82.57
1	77.06	94.2	3.6	0.21	4468	55.56	5.05	4.35	7352	83.18	1.29	0.66	1174	57.46	3.36	0	14451	94.92	0.91	0.24	1939	82.44
42	76.55	95.4	4.0	1.04	4556	53.54	2.02	0.93	7206	83.18	2.96	1.1	1406	56.34	2.24	0	14600	94.31	1.06	0.32	1977	82.31
mean	76.83	94.73	3.67	0.63	4523	54.38	3.87	2.67	7362	83.36	2.16	0.88	1300	56.84	2.86	0.0	14513	94.82	0.96	0.27	1959	82.44
std	0.26	0.61	0.31	0.41	48	1.05	1.62	1.71	161	0.32	0.83	0.22	118	0.57	0.57	0.0	77	0.46	0.09	0.05	19	0.13
																						
Qwen 3 8B s50 SparseGPT																						wandb zpovcm4b uubwrjtd	cosmos1030/qwen3-8b-sgpt-s50pct-ot80fw20	https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_8b_nostrip8192/runs/zpovcm4b https://wandb.ai/dyk6208-gwangju-institute-of-science-and-technology/reasoning_qwen3_8b_nostrip8192/runs/uubwrjtd
	avg5	math500				GPQA				IFEval				LCB				GSM8K				avg4 (no GPQA)
seed	accuracy	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy	truncation rate	correct truncation rate	avg tokens	accuracy
0	62.68	91.0	5.8	0.66	4608	35.86	17.17	14.46	9006	52.68	32.53	23.8	6218	41.42	30.6	0	18078	92.42	2.58	0.81	2102	69.38
1	63.04	89.4	7.4	1.54	4678	39.9	20.2	15.96	9317	52.5	31.42	23.24	6110	40.67	32.46	0	18332	92.72	1.82	0.65	2081	68.82
42	63.45	90.6	6.0	1.31	4567	40.91	16.16	14.74	8782	51.39	33.09	25.67	6344	41.79	29.48	0	17910	92.57	1.97	0.57	2105	69.09
mean	63.05	90.33	6.4	1.17	4618	38.89	17.85	15.05	9035	52.19	32.35	24.24	6224	41.29	30.85	0.0	18107	92.57	2.12	0.68	2096	69.1
